PC1,PC2,Variable
0.069760073845429,-0.044061248132782,log_articles
0.070943054611555,-0.046936251738579,log_publications
0.057529523588793,-0.02522505411874,log_openaccess
0.072346075889943,-0.045134527468839,log_coauthors
0.045835335408068,-0.035952005985272,log_first_author
0.059995571412,-0.036804503661015,log_last_author
0.106742043134864,-0.047930349780466,log_citation_count
0.107558105853587,-0.048662800983939,log_cited_by_count
0.092360164920748,-0.044450435650041,log_h_index
0.078672857537686,-0.042497713777729,log_growth_rate
0.102739008677687,-0.044092535027918,log_mean_citations_per_year
0.126929963048639,-0.035856511238076,log_mean_citations_per_doc
0.004711704307504,0.055740395469091,log_SJR_mean
0.022546972465133,-0.014564573660257,log_journal_h_index_mean
0.037136020900212,-0.015177891737609,log_author_count_mean
0.020320283844847,0.056996248067926,log_author_position_mean
